ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp,lat,lon,name,admin1,admin2,cc
40110,55625,Place made,1,North America,,United States,,Nevada,Reno,,,,,,,39.52963,-119.8138,http://www.geonames.org/5511077/reno.html,AAAAADpPa/I=,39.52963,-119.8138,Reno,Nevada,Washoe County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
43153,55626,Place made,1,Europe,,Switzerland,,,Zurich,,,,,,,47.36667,8.55,http://www.geonames.org/2657896/zuerich.html,AAAAADpPa/M=,47.36667,8.55,Zurich,Zurich,Bezirk Zuerich,CH
,,,,,,,,,,,,,,,,,,,,,,,,,
42696,55627,Place made,1,Europe,,England,,,London,,,,,,,1.50853,-0.12574,http://www.geonames.org/2643743/london.html,AAAAADpPa/Q=,4.88447,-1.75536,Takoradi,Western,,GH
,,,,,,,,,,,,,,,,,,,,,,,,,
2645,55772,Place made,1,North America,Mesoamerica,Mexico,Maya area,probably Chiapas,,,Western periphery,,,,,23,-102,http://www.geonames.org/3996063/mexico.html,AAAAADpPbEs=,22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX
,,,,,,,,,,,,,,,,,,,,,,,,,
39880,55824,Place made,1,Asia,,China,,,,,,,,,,35,105,http://www.geonames.org/1814991/people-s-republic-of-china.html,AAAAADpPbFQ=,34.94931,104.72584,Santai Zhen,Gansu Sheng,,CN
,,,,,,,,,,,,,,,,,,,,,,,,,
40150,55825,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPbFU=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
43185,55826,Place made,1,North America,,United States,,California,San Francisco,,,,,,,37.77493,-122.41942,http://www.geonames.org/5391959/san-francisco.html,AAAAADpPbFY=,37.77493,-122.41942,San Francisco,California,San Francisco County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40491,55831,Place made,1,North America,,United States,,Maine,,,,,,Popple Beach,,45.50032,-69.24977,http://www.geonames.org/4971068/maine.html,AAAAADpPbFg=,45.307,-69.03337,Brownville,Maine,Piscataquis County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
41587,55839,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPbGA=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
3110,55856,Place made,1,North America,Mesoamerica,Mexico,Central Valley of Oaxaca,Oaxaca,,,,,,,,17,-96.5,http://www.geonames.org/3522509/estado-de-oaxaca.html,AAAAADpPbGU=,16.99488,-96.47112,Santa Ana del Valle,Oaxaca,,MX
,,,,,,,,,,,,,,,,,,,,,,,,,
43093,55873,Place made,1,North America,,United States,,New Jersey,Princeton,,,,,,,40.34872,-74.65905,http://www.geonames.org/5102922/princeton.html,AAAAADpPbGc=,40.34872,-74.65905,Princeton,New Jersey,Mercer County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42553,55875,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPbGk=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40788,55877,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPbGs=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42552,55890,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPbHE=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
