ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp
51250,12579,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEya49A=
51250,12579,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEya49A=
50047,13031,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbOgMo=
50047,13031,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbOgMo=
50048,13032,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbOgPA=
50048,13032,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbOgPA=
50049,13033,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbOh+0=
50049,13033,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbOh+0=
50050,13035,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbPGZI=
50050,13035,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbPGZI=
50051,13037,Place made,1,North America,,United States,,Michigan,missing,,,,,,,,,http://www.geonames.org/5001836/michigan.html,AAAAAEbPSKg=
50051,13037,Place made,1,North America,,United States,,Michigan,missing,,,,,,,,,http://www.geonames.org/5001836/michigan.html,AAAAAEbPSKg=
50052,13038,Place made,1,North America,,United States,,Illinois,Chicago,,,,,Field Museum of Natural History,,,,http://www.geonames.org/6956716/field-museum-of-natural-history.html,AAAAAEbPXv4=
50052,13038,Place made,1,North America,,United States,,Illinois,Chicago,,,,,Field Museum of Natural History,,,,http://www.geonames.org/6956716/field-museum-of-natural-history.html,AAAAAEbPXv4=
50053,13040,Place made,1,North America,,United States,,Michigan,Port Huron,,,,,,,,,http://www.geonames.org/5006233/port-huron.html,AAAAAErvNak=
50053,13040,Place made,1,North America,,United States,,Michigan,Port Huron,,,,,,,,,http://www.geonames.org/5006233/port-huron.html,AAAAAErvNak=
50054,13041,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbP1pk=
50054,13041,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbP1pk=
49898,13060,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZjbW0=
49898,13060,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZjbW0=
49899,13068,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZjnik=
49899,13068,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZjnik=
49900,13071,Place made,1,North America,,United States,,Ohio,Newark,,,,,,,,,http://www.geonames.org/5164466/newark.html,AAAAAEZjvoE=
49900,13071,Place made,1,North America,,United States,,Ohio,Newark,,,,,,,,,http://www.geonames.org/5164466/newark.html,AAAAAEZjvoE=
49570,13117,Place made,1,North America,,United States,,New York,New York,,,,,,,,,www.geonames.org/5128581/new-york-city.html,AAAAAD+di0k=
49570,13117,Place made,1,North America,,United States,,New York,New York,,,,,,,,,www.geonames.org/5128581/new-york-city.html,AAAAAD+di0k=
14213,13315,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL3U=
14212,13318,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL3Y=
14211,13319,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL3c=
14210,13320,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL3g=
14209,13321,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL3k=
43278,13322,Place made,1,North America,,United States,,New Mexico,Albuquerque,,,,,,,NULL,,,AAAAADpPL3o=
14208,13326,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL3s=
14207,13327,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL3w=
14205,13330,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL38=
14204,13331,Place made,1,North America,,United States,,New York,New York,,,,,,,NULL,,,AAAAADpPL4A=
49913,13567,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnODA=
49913,13567,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnODA=
49901,13597,Place made,1,Europe,,France,,missing,Crecy-en-Brie,,,,,,,,,http://www.geonames.org/3022623/crecy-la-chapelle.html,AAAAAEqcW9c=
49901,13597,Place made,1,Europe,,France,,missing,Crecy-en-Brie,,,,,,,,,http://www.geonames.org/3022623/crecy-la-chapelle.html,AAAAAEqcW9c=
49902,13625,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZlVgw=
49902,13625,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZlVgw=
49906,13629,Place made,1,Europe,,Italy,,missing,Venice,,,,,,,,,http://www.geonames.org/6542284/venezia.html,AAAAAEZmFlw=
49906,13629,Place made,1,Europe,,Italy,,missing,Venice,,,,,,,,,http://www.geonames.org/6542284/venezia.html,AAAAAEZmFlw=
49908,13630,Place made,1,North America,,Canada,,Newfoundland,St. John's,,,,,,,,,http://www.geonames.org/6324733/st-john-s.html,AAAAAEZmFrk=
49908,13630,Place made,1,North America,,Canada,,Newfoundland,St. John's,,,,,,,,,http://www.geonames.org/6324733/st-john-s.html,AAAAAEZmFrk=
49917,13632,Place made,1,North America,,United States,,Massachusetts,Woburn,,,,,,,,,http://www.geonames.org/4956032/woburn.html,AAAAAEZndyU=
49917,13632,Place made,1,North America,,United States,,Massachusetts,Woburn,,,,,,,,,http://www.geonames.org/4956032/woburn.html,AAAAAEZndyU=
49907,13647,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZmFnM=
49907,13647,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZmFnM=
49914,13648,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnOIk=
49914,13648,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnOIk=
49904,13662,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZl+ac=
49904,13662,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZl+ac=
49915,13664,Place made,1,North America,,United States,,Massachusetts,missing,,,,,Berkshires,,,,http://www.geonames.org/6254926/massachusetts.html,AAAAAEZnR9s=
49915,13664,Place made,1,North America,,United States,,Massachusetts,missing,,,,,Berkshires,,,,http://www.geonames.org/6254926/massachusetts.html,AAAAAEZnR9s=
49916,13664,Place made,0,North America,,United States,,Maine,missing,,,,,,,,,http://www.geonames.org/4971068/maine.html,AAAAAEZnR+o=
49916,13664,Place made,0,North America,,United States,,Maine,missing,,,,,,,,,http://www.geonames.org/4971068/maine.html,AAAAAEZnR+o=
49905,13680,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZmFjY=
49905,13680,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZmFjY=
49919,13721,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnSBk=
49919,13721,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnSBk=
50768,13840,Place made,1,North America,,United States,,Ohio,Toledo,,,,,,,,,http://www.geonames.org/5174035/toledo.html,AAAAAEhX78k=
50768,13840,Place made,1,North America,,United States,,Ohio,Toledo,,,,,,,,,http://www.geonames.org/5174035/toledo.html,AAAAAEhX78k=
50766,13875,Place made,1,North America,,United States,,Missouri,St. Louis,,,,,,,,,http://www.geonames.org/4407066/st-louis.html,AAAAAEhXFvI=
50766,13875,Place made,1,North America,,United States,,Missouri,St. Louis,,,,,,,,,http://www.geonames.org/4407066/st-louis.html,AAAAAEhXFvI=
50767,13897,Place made,1,North America,,United States,,Missouri,St. Louis,,,,,,,,,http://www.geonames.org/4407066/st-louis.html,AAAAAEhXHjM=
50767,13897,Place made,1,North America,,United States,,Missouri,St. Louis,,,,,,,,,http://www.geonames.org/4407066/st-louis.html,AAAAAEhXHjM=
50769,13912,Place made,1,Europe,,Italy,,missing,Palermo,,,,,,,,,http://www.geonames.org/6542127/palermo.html,AAAAAEhYIxE=
50769,13912,Place made,1,Europe,,Italy,,missing,Palermo,,,,,,,,,http://www.geonames.org/6542127/palermo.html,AAAAAEhYIxE=
50292,14299,Place made,1,North America,,United States,,Arizona,missing,,,,,,,,,http://www.geonames.org/5551752/arizona.html,AAAAAEcmzbQ=
50292,14299,Place made,1,North America,,United States,,Arizona,missing,,,,,,,,,http://www.geonames.org/5551752/arizona.html,AAAAAEcmzbQ=
49923,14333,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnSNk=
49923,14333,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnSNk=
49939,14348,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZn3Uk=
49939,14348,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZn3Uk=
49920,14361,Place made,1,North America,,Canada,,Newfoundland,St. John's,,,,,,,,,http://www.geonames.org/6324733/st-john-s.html,AAAAAEZnSGM=
49920,14361,Place made,1,North America,,Canada,,Newfoundland,St. John's,,,,,,,,,http://www.geonames.org/6324733/st-john-s.html,AAAAAEZnSGM=
49921,14361,Place made,0,North America,,Canada,,Newfoundland,missing,,,,,Petty Harbour,,,,http://www.geonames.org/6103621/petty-harbour-maddox-cove.html,AAAAAEZnSGw=
49921,14361,Place made,0,North America,,Canada,,Newfoundland,missing,,,,,Petty Harbour,,,,http://www.geonames.org/6103621/petty-harbour-maddox-cove.html,AAAAAEZnSGw=
49943,14362,Place made,1,North America,,United States,,Massachusetts,Woburn,,,,,,,,,http://www.geonames.org/4956032/woburn.html,AAAAAEZn6Ns=
49943,14362,Place made,1,North America,,United States,,Massachusetts,Woburn,,,,,,,,,http://www.geonames.org/4956032/woburn.html,AAAAAEZn6Ns=
49922,14379,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnSJk=
49922,14379,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnSJk=
49946,14380,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZn+vs=
49946,14380,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZn+vs=
49924,14398,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnS2U=
49924,14398,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZnS2U=
49932,14399,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZndoQ=
49932,14399,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZndoQ=
50061,14417,Place made,1,North America,,United States,,Illinois,Chicago,,,,,Wabash Avenue and Monroe Street,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbSm0s=
50061,14417,Place made,1,North America,,United States,,Illinois,Chicago,,,,,Wabash Avenue and Monroe Street,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbSm0s=
50062,14432,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbSm54=
50062,14432,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbSm54=
50063,14433,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbSng8=
50063,14433,Place made,1,North America,,United States,,Illinois,Chicago,,,,,,,,,http://www.geonames.org/4887398/chicago.html,AAAAAEbSng8=
50064,14434,Place made,1,North America,,United States,,Michigan,Port Huron,,,,,,,,,http://www.geonames.org/5006233/port-huron.html,AAAAAEbSorc=
